model,manufacture,color,msrp,engine.cylinder,engine.stroke,displacement,bore,stroke,comp.ratio,starter,transmission,lubricator,final.drive,cooling,clutch,ignition,frame,front.suspension,rear.suspension,front.brake,rear.brake,wheelbase,seat.height,overall.length,overall.width,overall.height,clearance,fuel.cap,total.weight
SuzukiJR50,Suzuki,yellow,1099,1,2,49,41,38,6,,1,oil,420 chain,air,,CDI,,telescopic fork,twin shock,drum,drum,33.9,18.9,49,23.4,28.7,4.5,0.53,84
SuzukiRM125,Suzuki,yellow,5099,1,2,125,54,54,9,,6,premix,520 chain,liquid,,digital,,telescopic fork,link type,disc,disc,57.1,37.4,84.4,33.1,50.2,13.8,2.1,192
SuzukiRM250,Suzuki,yellow,5999,1,2,249,66,72,9,,5,premix,520 chain,liquid,,digital,,telescopic fork,link type,disc,disc,57.9,37.9,85.6,33.1,50.4,13.8,2.1,212
SuzukiRM65,Suzuki,yellow,2849,1,2,65,44,42,8,,6,premix,428 chain,liquid,,CDI,,telescopic fork,link type,disc,disc,44.1,29.9,62.6,29.9,37.6,12,1,125.7
SuzukiRM85,Suzuki,yellow,3099,1,2,85,48,47,10,,6,premix,428 chain,liquid,,CDI,,cartridge fork,link type,disc,disc,48.8,33.5,71.1,28.9,43.3,12.8,1.3,143
SuzukiRM85L,Suzuki,yellow,3199,1,2,85,48,47,10,,6,premix,428 chain,liquid,,CDI,,cartridge fork,link type,disc,disc,50.4,34.4,74.6,28.9,45.9,14,1.3,152
SuzukiRMZ250,Suzuki,yellow,5599,1,4,249,77,54,13,,5,semi-dry sump,520 chain,liquid,,digital,,telescopic fork,link type,disc,disc,58.1,37.8,85.4,33.1,50,13.4,2,204
SuzukiRMZ450,Suzuki,yellow,6499,1,4,449,96,63,12,,4,semi-dry sump,520 chain,liquid,,digital,,telescopic fork,link type,disc,disc,58.5,39.2,86,32.8,50,13.8,1.8,220
YamahaPW50,Yamaha,blue/white,1079,1,2,49,40,39,6,,1,,shaft,air,,CDI,,telescopic fork,twin shock,drum,drum,33.7,19.1,49,22.6,28.1,4.1,0.5,82
YamahaPW80,Yamaha,blue/white,1249,1,2,79,47,45,7,,3,,chain,air,,CDI,,telescopic fork,single shock,drum,drum,41,34.6,60.6,25.2,34.6,7.3,1.3,126
YamahaTTR125E,Yamaha,blue/white,2399,1,4,124,54,54,10,,5,,chain,air,,CDI,,telescopic fork,single shock,drum,drum,49,30.5,72,30.9,41.5,10.4,1.74,179
YamahaTTR125L,Yamaha,blue/white,2499,1,4,124,54,54,10,,5,,chain,air,,CDI,,telescopic fork,single shock,disc,drum,50,31.7,74.2,31.3,42.7,11.6,1.74,172
YamahaTTR230,Yamaha,blue/white,3299,1,4,223,70,58,,,6,,chain,air,,CDI,,telescopic fork,single shock link type,disc,drum,54.1,34.8,81.3,31.5,46.5,12,2.1,242
YamahaTTR250,Yamaha,blue/white,4399,1,4,249,73,59,10,,6,,chain,air,,CDI,,telescopic fork,single shock link type,disc,disc,55.3,36,82.5,32.9,49.6,12,2.5,249
YamahaTTR90E,Yamaha,blue/white,1699,1,4,89,47,52,8,,3,,chain,air,,CDI,,telescopic fork,single shock,drum,drum,40.9,24.6,60,23.8,34.1,6.3,1.1,139
YamahaTW200,Yamaha,silver,3699,1,4,196,67,56,10,,5,,chain,air,,CDI,,Kayaba telescopic fork,Kayaba single shock,disc,drum,52.2,31.1,82.3,32.3,44.1,10.4,1.9,260
YamahaWR250F,Yamaha,blue/white,5899,1,4,249,77,54,12,,5,,chain,liquid,,digital,,Kayaba telescopic fork,Kayaba single shock,disc,disc,58.1,38.4,86.2,32.7,50.8,14.57,2.1,228
YamahaWR450F,Yamaha,blue/white,6599,1,4,449,95,63,12,,5,,chain,liquid,,digital,,telescopic fork,single shock,disc,disc,58.4,38,86.1,32.7,50.98,14.57,2.1,244
YamahaXT225,Yamaha,silver,4099,1,4,223,70,58,10,,6,,O-ring chain,air,,CDI,,telescopic fork,single shock,disc,drum,,,81.5,31.7,,,,
YamahaYZ125,Yamaha,blue/white,5299,1,4,124,54,54,9,,6,,chain,liquid,,digital,,Kayaba telescopic fork,Kayaba single shock,disc,disc,56.5,39.1,84,32.6,51.9,15.8,2.1,189
YamahaYZ250,Yamaha,blue/white,6099,1,2,249,66,72,9,,5,,chain,liquid,,digital,,Kayaba telescopic fork,Kayaba single shock,disc,disc,58.3,39,85.9,32.6,51.5,15.6,2.1,211
YamahaYZ250F,Yamaha,blue/white,5699,1,4,249,77,53,12,,5,,chain,liquid,,digital,,Kayaba telescopic fork,Kayaba single shock,disc,disc,58,39.2,85.2,32.6,51.3,15,1.8,206
YamahaYZ450F,Yamaha,blue/white,6399,1,4,449,95,63,12,,4,,chain,liquid,,digital,,Kayaba telescopic fork,Kayaba single shock,disc,disc,58.5,39.2,85.5,32.6,51.3,14.6,1.8,220
YamahaYZ85,Yamaha,blue/white,3099,1,2,85,47,48,8,,6,,chain,liquid,,digital,,Kayaba telescopic fork,Kayaba single shock,disc,disc,49.5,34,71.7,29.8,45.7,13.8,1.3,146
